TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
147,-549.0666838769739,858.3523514742496,200.91702745547767,-467.1983744766198,-406.66016829755404,4407.0402701561225,2796.2359701657315,1596.3941290697003
148,-555.308997305243,857.4030535375123,192.20895185668672,-465.18016299674684,-401.20104005641747,4416.97700607142,2798.317285327237,1600.3101423487456
149,-557.0174596498737,862.0106654525205,194.17748477339484,-462.86710008378157,-393.65435351961276,4427.8780787110045,2802.1641805351064,1601.8443655747094
150,-555.7374567032692,862.2156005779342,196.65902622252761,-460.7810886556678,-389.7716943017283,4428.771616206716,2799.713794385945,1599.7475886111113
151,-556.868200035693,855.5513090244035,191.97415150370227,-460.9466185530085,-393.4689637290339,4410.583166238024,2783.61502213724,1592.224638520779
152,-556.9109431787148,860.4783539215313,194.2442286367709,-459.2178695379778,-393.47539157669564,4387.287896043226,2766.242568303792,1581.4867126780873
153,-553.7276954104314,869.9339712722034,196.66266789658295,-453.8132531947185,-385.6255886866105,4353.34543315711,2744.0170234261395,1570.1441540095582
154,-551.2403378328984,864.5448797300642,185.24943362176356,-450.6048844608433,-380.1164988635012,4297.926077184688,2705.7341183224516,1557.9248363121096
155,-546.2628390892903,857.2439341542038,180.64081300940626,-450.50145416115697,-377.8239989527973,4245.857004953061,2668.529484019978,1545.028477184248
156,-533.9606646936442,859.2369488941163,196.76760203894793,-448.3631824733822,-373.07356823181976,4212.576733159369,2645.2000893246204,1531.6455103445155
157,-521.4711800711195,853.8244479544059,211.06004725883992,-444.1881211303221,-370.5129181370054,4172.986889508167,2617.0093602724264,1514.4263276163617
158,-515.0866000853932,841.3715566170529,215.01825536829406,-438.4577818112077,-369.7977379169937,4114.862890906944,2575.709215325359,1490.6030431046324
159,-510.2940398741142,836.8519862051517,218.68903392465944,-427.2939581725929,-360.08664848594697,4045.5184609146286,2530.0919738360762,1461.7500264044952
160,-505.4761713122888,827.1521836314602,210.21440962315654,-413.3222196493226,-345.05318022043616,3952.6009774120525,2471.1908660653016,1429.381858041038
161,-501.7080541808019,800.8723283793181,185.02455029420062,-403.9820541268922,-337.0387028333822,3834.7055439656924,2394.7805412645903,1394.0744083606744
162,-491.8700058173233,776.1232179211124,169.96531661088824,-398.2191703299785,-332.57826769063524,3723.5451667017205,2323.6156818691775,1358.9135706235693
163,-473.21600341443315,755.9371970753226,171.49527538034252,-391.8346856912884,-326.2243124178032,3627.718095107117,2264.5758497808088,1325.8278581299955
164,-455.0665421792938,725.3917959422258,170.21671036978952,-386.14660203411773,-322.765314830329,3526.7602238880945,2201.4873085297054,1292.1826031230203
165,-440.9413869762478,694.4840029757795,169.01714974372965,-379.3902809458376,-318.2357016213815,3421.709800158118,2136.3942775726982,1255.8078269717878
166,-426.05414201144924,674.5008523140467,173.46926683246625,-366.15876513051353,-303.6877138519128,3316.343582840776,2075.4864144684634,1217.0358924511643
167,-411.22112039700426,648.8928443067708,164.4885715029829,-348.99103507479293,-286.13907240288864,3191.297744493452,2003.804177336513,1175.3341768007404
168,-396.795945460913,615.175390014919,142.19922966538212,-332.6191805852314,-272.88224597295897,3049.0255335821084,1920.1106515246288,1130.756212750931
169,-376.536589793001,591.5986817743951,129.84936557868778,-314.2069315913701,-256.6364868712279,2915.139051160638,1842.8469408952046,1085.9714056755367
170,-351.93419900907554,571.3746996979253,123.0631899087644,-293.02948753261103,-237.0526735103082,2785.632990234928,1768.2077347972067,1042.0866412600942
171,-331.82072928610125,540.7887087439475,107.82768919939593,-274.05148481107005,-222.55127864559404,2646.164546568809,1683.6003320806321,997.381314735593
172,-315.53351980831883,514.0651147099826,97.7344259785051,-256.7742976035772,-208.96446876578705,2510.312010314924,1600.8689919532894,951.7961690123794
173,-298.96332494867954,494.80119493487354,95.75007504200754,-239.26385850757455,-192.19641363516723,2381.085926388424,1525.098580282744,906.2182270531667
174,-286.20223986608016,463.4800679894551,82.10856747273249,-226.87598654312373,-182.68123052686357,2239.2732613779644,1440.665126373994,859.0501414435848
175,-277.39566723607265,426.03608858888026,63.84720806026668,-221.0640027138561,-181.55616615164422,2092.971081164609,1352.114618274027,809.3993594279223
176,-265.59942767736345,400.36714820080545,60.54374900355419,-215.54062925253592,-177.81874778409008,1962.4670537548093,1275.198597697388,758.9108187756054
177,-252.31132327928833,374.51572306334344,60.51965192564195,-209.36398325634835,-173.7298072487294,1836.5496392479147,1199.6637154682394,707.4407042336622
178,-241.99820518309542,341.0514375015872,54.96649795993786,-204.1354484668065,-174.30780559525112,1707.0302269324825,1116.9594274634549,654.0066419598604
179,-229.41163617956542,316.2335234612166,58.72107914366187,-194.82533709217984,-170.49200366014315,1589.2152250193778,1040.1748511249998,600.9813211783087
180,-212.5971131573915,295.14018637367684,64.9218578941056,-179.04523460954772,-159.81048617185897,1476.0805792650099,965.7710051464268,550.4991257240383
181,-197.66810785415538,262.5470790790781,56.16974634099361,-161.70672602784046,-150.51951642582225,1350.0152438117916,879.7307998169339,501.7456329123295
182,-183.09223297578376,234.16395680081718,49.00367009611317,-144.21538180082635,-139.27478380006184,1228.1326019105336,795.7074675765439,455.0180537757582
183,-164.71994645569964,220.83632831393817,56.458870174410414,-125.19339039973617,-120.14381515681532,1123.6365160737564,725.4827658719548,411.10075542849415
184,-148.8812020269882,203.24601712519046,58.64982144480375,-108.70235197468695,-101.59728363312553,1015.4545051105844,652.3710684077494,367.7293095009259
185,-139.0861827929535,178.66236998049953,51.73905616044301,-96.42807071776485,-87.3765490867215,898.6969855003963,572.1896080531492,323.6282516707343
186,-128.3644879924277,161.0994281454121,50.94140854594243,-82.97854586206356,-69.87536651950299,788.6645245101436,498.396806175841,281.5195810517447
187,-115.1027106800268,140.2859577637265,47.5421915974049,-67.92864124181503,-52.844414329377365,677.5600258104823,424.9031573055279,242.79468916902692
188,-102.633328941313,108.50099681591172,34.97927239388151,-56.34932632807002,-45.807024410888346,560.867099804998,345.954094664202,205.97371793754144
189,-86.73928444677586,84.3483536548446,33.58908790799998,-47.65714116394677,-43.983283717319225,461.27663240607706,278.94174542428874,170.91691289309512
190,-66.18476450623344,68.73799106713346,43.76498291359319,-39.530372303146265,-42.09005758171024,379.2856175685967,225.49025603341258,137.20446842992496
191,-49.29928298278219,45.02367570366693,44.91792975263272,-33.767956842341775,-43.77779626672184,292.16443428853256,167.75071608577775,102.22152744132957
192,-37.043471354262095,22.4213211395693,43.61117852363077,-28.027144845694675,-43.391982826663536,204.63456423678423,109.8153107846757,66.30210994114476
